row_id,surface_au_composition,subsurface_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au3_avg_trimer_strain,au2cu_avg_trimer_strain,aucu2_avg_trimer_strain,cu3_avg_trimer_strain,all_trimers_avg_strain
1,4.0,0.0,0.062343663707847635,0.11585771647721663,nan,-5.696811615266068,-0.0625521168977159,nan,nan,-6.733927355619649,-0.2492779372244773,-1.0274358674318982
2,4.0,0.0,0.07225058609784239,0.2143829642877565,nan,-5.223070496627501,-0.10503337866314957,nan,nan,-5.800735113375105,-0.38793824120124093,-1.0374738658621048
3,4.0,0.0,0.05840647164341632,0.11858794334321321,nan,-4.606993212445271,-0.15876010641170166,nan,nan,-4.611962756743826,-0.5670198555535998,-1.052413003696427
4,4.0,0.0,0.06701188811185123,0.15777970193634466,nan,-4.9428166821770425,-0.1320635703756233,nan,nan,-5.240125996758684,-0.47189900922660916,-1.0440862477304582
5,4.0,0.0,0.07527878237993126,0.23281071292657576,nan,-5.510334495353127,-0.07926576114280152,nan,nan,-6.372714775395722,-0.30462854925809646,-1.0327988963946115
6,4.0,0.0,0.06534069879490371,0.13692294880652767,nan,-5.857448850408087,-0.048211164460704614,nan,nan,-7.047363062412739,-0.20213799412182168,-1.0235650023167318
7,4.0,0.0,0.07041213698072207,0.1665063496531544,nan,-6.342734363278351,-0.003798670760708094,nan,nan,-8.009800987752344,-0.060917222546432705,-1.0147832743711418
8,4.0,0.0,0.0701939985830516,0.14516582492152028,nan,-6.313061823050141,-0.006008151290869285,nan,nan,-7.940604008255142,-0.0696801986355119,-1.0141910557898675
9,4.0,0.0,0.06482339279647459,0.10871793494606675,nan,-5.650066425377175,-0.06852607285112834,nan,nan,-6.635906527402064,-0.26366361328571847,-1.02833276297968
10,4.0,0.0,0.0757677936526963,0.19638516994518831,nan,-5.922884396402185,-0.042609805564566595,nan,nan,-7.1778913069175445,-0.18364621239769316,-1.0229556237400752
11,4.0,0.0,0.0814242156963048,0.2608892648805201,nan,-5.5256327057228924,-0.07844823489920259,nan,nan,-6.401563785822078,-0.3000275412149566,-1.032211890567811
12,4.0,0.0,0.07527878237993126,0.23281071292657576,nan,-5.510334495353127,-0.07926576114280152,nan,nan,-6.372714775395722,-0.30462854925809646,-1.0327988963946115
13,4.0,0.0,0.06559050324795607,0.14199620374170194,nan,-6.5901930474288966,0.021116197759761954,nan,nan,-8.489887475355623,0.011255687009959341,-1.0088814924739105
14,4.0,0.0,0.07001596278955123,0.15576612333990977,nan,-5.542865304097323,-0.07563006428216236,nan,nan,-6.449830953006109,-0.2913682089907837,-1.0303837382726226
15,4.0,0.0,0.06701188811185123,0.15777970193634466,nan,-4.9428166821770425,-0.1320635703756233,nan,nan,-5.240125996758684,-0.47189900922660916,-1.0440862477304582
16,4.0,0.0,0.0757677936526963,0.19638516994518831,nan,-5.922884396402185,-0.042609805564566595,nan,nan,-7.1778913069175445,-0.18364621239769316,-1.0229556237400752
17,4.0,0.0,0.06179359035756272,0.10459275854208427,nan,-5.768497237560532,-0.0468168472961689,nan,nan,-6.939162048897978,-0.219966209681719,-1.02626971038767
18,4.0,0.0,0.06179359035756272,0.10459275854208427,nan,-5.768497237560532,-0.0468168472961689,nan,nan,-6.939162048897978,-0.219966209681719,-1.02626971038767
19,4.0,0.0,0.08293655542427189,0.23408499306136296,nan,-5.5180312142367045,-0.07880649472728833,nan,nan,-6.3784486971800405,-0.3036493567583214,-1.0326252776089277
20,0.0,0.0,0.019143645761595635,0.08301468089657363,nan,nan,0.012743597541703903,nan,nan,nan,0.022594836857617796,0.022594836857617796
21,0.0,0.0,0.019143645761595635,0.08301468089657363,nan,nan,0.012743597541703903,nan,nan,nan,0.022594836857617796,0.022594836857617796
22,4.0,0.0,0.06939742918516036,0.16795949261638687,nan,-5.102017235160379,-0.11937345131158311,nan,nan,-5.593401621331012,-0.4315150482291775,-1.0509414370013976
23,4.0,0.0,0.06939742918516036,0.16795949261638687,nan,-5.102017235160379,-0.11937345131158311,nan,nan,-5.593401621331012,-0.4315150482291775,-1.0509414370013976
24,4.0,0.0,0.06181257864383762,0.11210532567590153,nan,-5.279313055952383,-0.10442113037226929,nan,nan,-5.956891354505967,-0.3863722234045731,-1.0548345191367405
25,4.0,0.0,0.03893128476301274,0.15768931307785422,nan,-4.581751178644658,-0.17558115693990659,nan,nan,-4.509763478943309,-0.5811421515237856,-1.0525767108141286
26,4.0,0.0,0.0410583731216884,0.16504474485129225,nan,-4.686562015120409,-0.16627773022752676,nan,nan,-4.712572727359935,-0.5507962825088272,-1.0502094558909598
27,4.0,0.0,0.03524744979846728,0.13691607623978375,nan,-4.022294583891541,-0.22655877924399417,nan,nan,-3.384741557727365,-0.7488046291931386,-1.0651170606172458
28,8.0,0.0,0.12800800406801416,0.5527269089383907,nan,-5.654360703014578,-0.16886148986866406,nan,nan,-6.681207061172017,-0.6250440390841643,-2.078523164385249
29,8.0,0.0,0.14342598507811383,0.6267513516173653,nan,-5.997678744494856,-0.09404987447284156,nan,nan,-7.373640540567332,-0.386376325357691,-2.0633197370080048
30,32.0,0.0,0.1153828221229556,0.19010310659159577,-7.824244836334157,-6.101744166408107,-1.6657729200384241,-13.609019047124699,-10.640267214927714,-8.99748244096921,-5.374641744476038,-8.285071377513852
31,36.0,0.0,0.11778349704145201,0.18953359820992263,-8.502530677063858,-6.301831783028626,-1.698372054345163,-14.621747635339009,-11.396789176138435,-9.598614892726435,-5.79049948451378,-9.248419826466995
32,24.0,0.0,0.12404777044490858,0.25300600003000595,-8.324808466994423,-4.975099701334886,-1.5064379681668714,nan,-10.036591354716014,-7.0649089059170835,-4.189354661170119,-6.282824486360405
33,24.0,0.0,0.10837591714912258,0.21315318728113777,-7.506853330189428,-5.598274794167005,-1.2922501907207906,nan,-9.619860991577612,-8.752361696311654,-3.5667921128187436,-6.26406534375917
34,28.0,0.0,0.10747099936030512,0.19483076389469614,-7.674443304464954,-5.693672555490531,-1.5588705115458905,nan,-9.731950278675264,-8.447687902271973,-4.79728427738237,-7.295749422652921
35,28.0,0.0,0.09961130971416839,0.173187094071156,-7.483424077350155,-5.9768677061444,-1.3642600326628291,-13.397413482924012,-10.115354660758605,-8.303342416435148,-4.487642511993634,-7.281420078055373
36,32.0,0.0,0.10508380864549677,0.18059982733284555,-8.186979761700583,-6.205123651015579,-1.3961714948203647,-14.193838894207804,-10.98303156415709,-8.941388893281417,-4.8086301304941355,-8.255771652056408
37,20.0,0.0,0.09406346625837297,0.19859000070389765,-7.053178177528069,-5.401682845301084,-1.049117845169434,nan,-8.908836526266326,-7.571835203182247,-3.0430496452286593,-5.2496355024216905
38,24.0,0.0,0.09590784161713817,0.19015970847798083,-7.188476028936068,-5.59198454351047,-1.2387770342309052,nan,-8.983981522976695,-7.734741553690074,-3.977923488987182,-6.2816200003066625
39,20.0,0.0,0.10316300849148714,0.21296214618589132,-7.378063697552753,-5.011662849385312,-1.1920826094623909,nan,-9.01183715619181,-6.573561976424756,-3.5578053977149513,-5.274862321109995
40,24.0,0.0,0.09309964633034416,0.17915457532877635,-7.261020197441713,-5.813272636366945,-1.005134749102328,nan,-8.941096030928419,-7.888590981394562,-3.491162341579082,-6.255920131412433
41,28.0,0.0,0.09148850059262305,0.19121796441160666,-8.308144726913328,-6.149744518493452,-0.9292184660369573,nan,-11.129765871360028,-8.2391009613695,-3.6372755381620956,-7.229023211541615
42,16.0,0.0,0.0841860662442305,0.20128942201404454,-7.0653306976915715,-5.017752314940291,-0.87874971288188,nan,-8.471460093707483,-6.7656496600004585,-2.4702699817663722,-4.2213039179754865
43,20.0,0.0,0.0838914171051308,0.18888068789156365,-7.086233229360171,-5.3148944467772905,-1.0488270768184473,nan,-8.504322713052128,-7.099844789868455,-3.2332130145969695,-5.257733617509322
44,24.0,0.0,0.09186898882898867,0.18292658605722023,-7.967864759587879,-5.6187232273449155,-1.0958369473531835,nan,-10.008715425460986,-7.230202588517712,-3.987118523264646,-6.266390502849679
45,28.0,0.0,0.09884259159087101,0.18372993558266237,-8.260129321060095,-5.95371697134676,-1.1258008840510008,nan,-11.021017406121597,-7.7621221859188,-4.55336064578324,-7.256741728307869
46,16.0,0.0,0.09587133952465164,0.2346494359345656,-7.529220870245193,-4.9392246419093855,-0.8490270085153709,nan,-9.51048845194351,-5.556464846215949,-2.8116683333234196,-4.225908826938636
47,16.0,0.0,0.09347875865763314,0.23694868815495448,-8.098724260415116,-4.700730744282208,-0.916299733914524,nan,-10.087099020843398,-4.946257181358657,-3.0741826266255354,-4.234279795677563
48,16.0,0.0,0.08839550675093165,0.21698460293900185,-6.429850707762634,-5.371881513999827,-0.7306667947903728,nan,-8.70085493367219,-6.507438977855651,-2.3834851417621246,-4.208539952664859
49,20.0,0.0,0.08874370658642737,0.20479160166921095,-6.579997389743751,-5.405685405847858,-0.9711146122403446,nan,-8.57853808008484,-6.602049676639913,-3.4746397857485127,-5.259012001287634
50,16.0,0.0,0.09267800469404047,0.21865128173279194,-7.302578416473063,-5.209288753023591,-0.754808900441327,nan,-9.880274193655383,-5.908576386886559,-2.547650125952908,-4.209756454867874
51,24.0,0.0,0.09231706414046234,0.1675503580931903,-7.290999290533438,-5.748535559493946,-1.0529695029235513,nan,-10.342221391934006,-7.024547511102509,-4.133562077587153,-6.266274203396147
52,28.0,0.0,0.09730864175379887,0.17220777536877346,-7.912864645041595,-6.0146610246739005,-1.1134604820300658,nan,-10.994951189241803,-7.724473461954248,-4.635190376552406,-7.259179310991667
53,16.0,0.0,0.1060513170249508,0.22222644410306452,-7.072640476686194,-4.713450594080462,-0.9542949677939854,nan,-9.299580715316312,-4.90580777677016,-3.224607581362983,-4.248589494609545
54,16.0,0.0,0.1011815710958099,0.2282518544907771,-7.667605657793933,-4.467344130397796,-1.0260692371933244,nan,-9.818677198757555,-4.332822440838189,-3.4751255542817616,-4.257072689537882
55,16.0,0.0,0.08924881047256988,0.20512306713800815,-5.859148134806835,-5.494303748923842,-0.7066808089696623,nan,-8.8323209372241,-6.45008775474688,-2.3964629580249452,-4.208491531311896
56,20.0,0.0,0.08444772921916371,0.18560013921776158,-5.747942687429097,-5.479990934727986,-0.9694015137127178,nan,-8.708461044438202,-6.426741665843713,-3.6239847318057787,-5.263955887793064
57,16.0,0.0,0.09755611261720194,0.2031670487682094,-7.409764194451451,-4.954439718297894,-0.8501212071914471,nan,-10.060648291683943,-5.228601226088449,-2.9159013364800095,-4.2275450575710245
58,20.0,0.0,0.09103201192480588,0.1859158048840216,-6.792734093582446,-5.523736453738208,-0.8929551158012504,nan,-8.104513194711899,-7.114052854526614,-3.055058384891358,-5.244972336316513
59,24.0,0.0,0.09364004781866993,0.18441970733964128,-7.042391709146049,-5.852581054787297,-0.9089546278196169,nan,-8.60388782700509,-7.647439404025959,-3.5658502711634767,-6.254583190033796
60,16.0,0.0,0.08924898074848486,0.2187378762522389,-7.182979557675539,-5.403239272011321,-0.6888845062690052,nan,-9.650107937663513,-6.467951350629068,-2.255605960424875,-4.195116643469308
61,20.0,0.0,0.07393763067280755,0.19702209552746267,-6.636567121611773,-5.693280162729933,-0.7153460907699162,nan,-9.615390797749402,-6.8373563594874165,-2.925014614988736,-5.227047369438477
62,12.0,0.0,0.09813551135415893,0.243143686500648,-5.35815357607796,-4.837107293866294,-0.6292927061872711,nan,-6.804770847254463,-5.399765776593649,-2.067251926623996,-3.189856561440718
63,12.0,0.0,0.09487053753168921,0.25211188288881087,-6.285380953137653,-4.467064198606064,-0.7174866417340766,nan,-7.3370959445986745,-4.694566262438948,-2.3483104712911484,-3.2048135117448333
64,12.0,0.0,0.07332659470198104,0.19878522851797506,-6.258391912594875,-5.014831628961314,-0.5691583327746786,nan,-7.946763426051685,-5.717541551673118,-1.842764491689806,-3.171862025859608
65,12.0,0.0,0.08922102526963742,0.21095951138464092,-6.63359874973469,-5.208822046870937,-0.5013124097422509,nan,-9.327978303212952,-5.8256679201172075,-1.7001840284685679,-3.1604312891199617
66,20.0,0.0,0.07866853661013319,0.16208770828215158,-7.4177965461524105,-5.530826382770187,-0.8119565751926368,nan,-9.786130301870212,-6.55052141809165,-3.2838250422661543,-5.242599368079574
67,24.0,0.0,0.0874230015841195,0.1808062182123399,-7.765572469589543,-5.776681503982661,-0.9337471372310313,nan,-10.479370885659756,-7.107680007247203,-3.9933121044214905,-6.256242832502951
68,12.0,0.0,0.08129307536654914,0.17442164214022202,nan,-5.017469727733401,-0.510672363008704,nan,nan,-5.405144227853412,-1.9177678293363578,-3.1732233328024972
69,12.0,0.0,0.08029751889936435,0.18937226909933144,nan,-4.789251558410907,-0.5848146194922955,nan,nan,-4.952537416757762,-2.196305934018978,-3.188549267804939
70,12.0,0.0,0.06867579197966281,0.1589926001121191,nan,-5.051204348199698,-0.5070554459294295,nan,nan,-5.478495847461131,-1.8700660957712678,-3.169100806379618
71,16.0,0.0,0.07207755937429301,0.16149608738039423,nan,-5.1913394518654075,-0.6990150195280713,nan,nan,-5.762044906656173,-2.7964334234620476,-4.219926935395227
72,12.0,0.0,0.07717664484968215,0.17322093879131073,nan,-4.913755579554834,-0.5470819492336562,nan,nan,-5.193444245502246,-2.0492745889663224,-3.181175665319255
73,8.0,0.0,0.06979145621984849,0.20103894375470496,-6.430240029312874,-4.9567833752635435,-0.3592667269032729,nan,-7.702251896126695,-5.995235059843352,-1.0526998545149606,-2.1094875690319728
74,16.0,0.0,0.07541584147679144,0.1948814595290735,-6.838549596726327,-5.3344158882680155,-0.6802380852971274,nan,-8.59742477083768,-6.307525963007796,-2.394798203143672,-4.207994369797082
75,20.0,0.0,0.08368246517102164,0.18509122806415515,-6.907795649207527,-5.926910175725574,-0.5650129097083876,nan,-9.890765987213415,-7.295515372554838,-2.3025238124404663,-5.202409110690858
76,8.0,0.0,0.09009190584742031,0.238688848863017,-5.187379151040581,-4.5829429195339895,-0.4355971744498798,nan,-5.951701994491577,-5.375978791618749,-1.2924367139143595,-2.132174057570151
77,8.0,0.0,0.08964314412425355,0.25771722536673486,-6.27339741033746,-3.9589553917225446,-0.516898984801349,nan,-6.869206808945172,-3.926664652462132,-1.5543954685571246,-2.1465509915974472
78,8.0,0.0,0.07211634501421053,0.20652249284413085,-6.912446805539822,-5.171034173272447,-0.3135160530805766,nan,-9.195158590383098,-5.983172062016104,-0.9645630885353974,-2.0967643443662185
79,12.0,0.0,0.0710267700217168,0.19251575557259548,-6.197435724930588,-4.707729755044186,-0.6629480920757463,nan,-6.883490206179978,-5.327876085095452,-2.0924740371642834,-3.190027257345639
80,8.0,0.0,0.07954519680941421,0.21526686800301364,-6.572186531203182,-5.402059958025916,-0.28159520666340204,nan,-8.501996865236544,-6.747613476514092,-0.8407329964382455,-2.092284428002313
81,8.0,0.0,0.0686378500369565,0.1943656130181022,nan,-5.158690205434829,-0.2752639643679209,nan,nan,-5.678539416383391,-0.9718498620424565,-2.1014553550842807
82,16.0,0.0,0.07463158799052796,0.16789637243805502,nan,-5.4966240402369975,-0.5496148933340077,nan,nan,-6.335066890308833,-2.2201345487770117,-4.195302072712286
83,20.0,0.0,0.08247280330124496,0.17752232979678176,nan,-5.764042710649497,-0.5937443653743173,nan,nan,-6.875540376556384,-2.733035480055358,-5.218538417955974
84,8.0,0.0,0.08696897804449101,0.23206677380991084,nan,-4.495075225261568,-0.40235893350773205,nan,nan,-4.396961859387986,-1.4149047076010135,-2.1305984240298868
85,8.0,0.0,0.08131995724117712,0.22250959779342344,nan,-4.0133442202159,-0.49620770855655494,nan,nan,-3.4406842093364194,-1.7446874339925118,-2.1517266600750493
86,8.0,0.0,0.06289048840816508,0.2037564911094043,nan,-4.583634891938682,-0.39219141840736504,nan,nan,-4.557501609369994,-1.358066265176661,-2.125930747783061
87,12.0,0.0,0.06532360369712217,0.18246829984162916,nan,-5.010161906019501,-0.5258157078039706,nan,nan,-5.3732061242958595,-1.9341488498300707,-3.172209468637755
88,8.0,0.0,0.06992824023953464,0.2065022218734335,nan,-5.081573544396036,-0.2894317524199124,nan,nan,-5.544307064120601,-1.020210580222653,-2.1059937363581605
89,8.0,0.0,0.06632219918230008,0.19168822189630344,nan,-5.325206611958018,-0.24263977581145388,nan,nan,-6.00854133600274,-0.8594840498213018,-2.095257798504847
90,16.0,0.0,0.07209801587554802,0.16230082386025735,nan,-5.6174735362996495,-0.49186614557647207,nan,nan,-6.572146294866812,-1.9845205616023125,-4.186580913569272
91,20.0,0.0,0.07919827735221183,0.1692930507550862,-8.241802667698767,-5.795065844948975,-0.625010317615843,nan,-10.467712093426059,-7.111674978534099,-2.480645171966051,-5.208263348239837
92,8.0,0.0,0.09027584136986806,0.2220458275861,nan,-4.394649814118008,-0.42270832976681544,nan,nan,-4.175329214403695,-1.4921269815625247,-2.1360955174444056
93,8.0,0.0,0.08918855455982588,0.23554047249699192,nan,-4.6459344283904445,-0.37206260213287784,nan,nan,-4.678281112391258,-1.3178096225570486,-2.1243227801172595
94,8.0,0.0,0.06531496596135863,0.19306953551452122,nan,-5.021298761855504,-0.3057035115669079,nan,nan,-5.411317206856797,-1.0635427257542747,-2.10700860121888
95,12.0,0.0,0.06618560113243342,0.17647526461705285,nan,-5.126869473400458,-0.48781617048581083,nan,nan,-5.602911063484337,-1.7932729749539966,-3.164742686824919
96,8.0,0.0,0.0768866569609286,0.19494362327405215,nan,-4.858787098413362,-0.33341638009448465,nan,nan,-5.076767031844022,-1.182437028899655,-2.117076229606303
97,4.0,0.0,0.060000178064979745,0.19021657123291474,nan,-4.731589485700987,-0.15474666018360034,nan,nan,-4.82880609712014,-0.5365667210888482,-1.051635446212603
98,12.0,0.0,0.0688401558289877,0.16955750118215074,nan,-5.240898432303347,-0.452997509570366,nan,nan,-5.823917239325719,-1.6654360577145,-3.162489283094538
99,16.0,0.0,0.0749576673710378,0.1702349240174115,nan,-5.585685279040905,-0.5069062397941828,nan,nan,-6.509098824300146,-2.047276886577832,-4.188951416684543
100,4.0,0.0,0.0809505054345454,0.2213044580198903,nan,-3.778593093870868,-0.2358373664344132,nan,nan,-2.953324633017868,-0.8153791258163693,-1.071932586680549
101,4.0,0.0,0.07924801552871427,0.2274303840138909,nan,-3.9530903690326293,-0.21913198454664756,nan,nan,-3.3100991126093464,-0.7609499384323701,-1.0668478393336072
102,4.0,0.0,0.058172538757574443,0.19591733724031088,nan,-4.447089825584201,-0.18224761743043755,nan,nan,-4.250148304093251,-0.6198527545349392,-1.0554882204819365
103,8.0,0.0,0.06187852427316526,0.1850399507025116,nan,-4.704926316083567,-0.37375859199180994,nan,nan,-4.750850890177432,-1.2918190855925253,-2.121986718692903
104,4.0,0.0,0.0652769494961881,0.20036664055978964,nan,-5.15212725784966,-0.11415730823200568,nan,nan,-5.669987101730875,-0.41058295481132434,-1.0417114524416704
105,2.7777777777777777,0.0,0.03316813201181869,0.0839298596436957,nan,-5.421874257923542,-0.05458840571320445,nan,nan,-6.181253555773279,-0.21329538260246012,-0.7106252303666951
106,2.7777777777777777,0.0,0.033783248011020894,0.13149642832592795,nan,-5.150493211309088,-0.07240473005890022,nan,nan,-5.639332424581504,-0.2671526659975181,-0.7148343125461836
107,0.0,0.0,0.02217404475719651,0.1271352920987176,nan,nan,0.012266565543548354,nan,nan,nan,0.022592784164291706,0.022592784164291706
108,5.555555555555555,0.0,0.05658179047253953,0.21375331309323614,-5.537338312644603,-4.07344497000543,-0.34422061638363854,nan,-5.869368653019073,-4.254697915295857,-0.9864376717821387,-1.4852146705402447
109,5.555555555555555,0.0,0.057999976730539374,0.22230018912760535,-6.497361124912939,-4.5796463046351175,-0.27821990698442506,nan,-7.659590748431194,-5.080115516113753,-0.8009394897006371,-1.466921583155721
110,5.555555555555555,0.0,0.05614194058316161,0.22500974996294854,-6.534181702120041,-4.666120019823447,-0.26699232401985584,nan,-8.226140430417804,-5.013157344067407,-0.7885054826591434,-1.464512215808913
111,5.555555555555555,0.0,0.056499929646137426,0.2185312122373843,-6.59926566696278,-4.7300808028812,-0.26127733567111616,nan,-8.208300149951633,-5.207669806919556,-0.7617633823142941,-1.462601228593694
112,5.555555555555555,0.0,0.056174755770704216,0.2178852182381643,-6.586334168518642,-4.642627982678134,-0.270527897326818,nan,-7.87452769268514,-5.168877060907117,-0.780269031043985,-1.4649548860743649
113,5.555555555555555,0.0,0.0576315126534768,0.21773944986389332,-6.464338298143592,-4.539678839491254,-0.28285658426752963,nan,-7.6118541313120245,-4.985469313055653,-0.8161148425217581,-1.468146986158587
114,5.555555555555555,0.0,0.046913924111559265,0.18284925122835405,nan,-4.300844675490439,-0.2949296200098932,nan,nan,-3.9650672933253754,-0.9809824435522433,-1.478329918514432
115,5.555555555555555,0.0,0.05498107360222316,0.2084624918632734,nan,-4.7860435013585,-0.23125837471570287,nan,nan,-4.92983609728748,-0.7700743171589173,-1.4633679471803445
116,5.555555555555555,0.0,0.05198320760222622,0.12455106864564963,nan,-5.790766759273189,-0.08886689057130619,nan,nan,-6.915717906266376,-0.3358715828280327,-1.432512636734423
117,5.555555555555555,0.0,0.05281512900813921,0.13354887867601417,nan,-5.789931712735446,-0.09008648199602377,nan,nan,-6.908423100492914,-0.33713504863112514,-1.4323497239414236
118,5.555555555555555,0.0,0.05069007874326686,0.11611147048878845,nan,-5.647779404932179,-0.10837866567306875,nan,nan,-6.645027288253073,-0.39474217056796224,-1.436456356848814
119,5.555555555555555,0.0,0.05227895735125813,0.2064167119746587,nan,-4.548331355746222,-0.2623174534310806,nan,nan,-4.457017492053893,-0.8733874196928152,-1.4706590984196615
120,5.555555555555555,0.0,0.05198320760222622,0.12455106864564963,nan,-5.790766759273189,-0.08886689057130619,nan,nan,-6.915717906266376,-0.3358715828280327,-1.432512636734423
121,5.555555555555555,0.0,0.04638110888566438,0.13241569622397725,nan,-5.834036303549408,-0.0836239149515778,nan,nan,-7.0161613014248525,-0.31362127872238044,-1.430711282506126
122,5.555555555555555,0.0,0.05185462531993033,0.20321147790365873,nan,-4.491048925707705,-0.2696625281852973,nan,nan,-4.3566646427753275,-0.8953239050555691,-1.4722140280088623
123,5.555555555555555,0.0,0.05367932885732365,0.20179989558940178,nan,-4.768754220547091,-0.23343822972845127,nan,nan,-4.889723549972334,-0.7787542691108008,-1.4639158159210561
124,5.555555555555555,0.0,0.05194506296916735,0.2025127775696359,nan,-4.7732758740535255,-0.232874510272263,nan,nan,-4.915816716448596,-0.7730152622759826,-1.4634821713047514
125,5.555555555555555,0.0,0.044532416425393455,0.09508086398367831,nan,-5.495128591712512,-0.12577531664229522,nan,nan,-6.327220803325537,-0.4643486552524543,-1.4414940132646348
