row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
41,28.0,0.0,0.09148850059262305,0.19121796441160666,-8.308144726913328,-6.149744518493452,-0.9292184660369573,-21.34014066172116,-0.9918653598914412,-6.689382444403763,-20.34827530182972
42,16.0,0.0,0.0841860662442305,0.20128942201404454,-7.0653306976915715,-5.017752314940291,-0.87874971288188,-19.00472808601205,-1.0558092376143808,-3.9276362533580085,-17.94891884839767
43,20.0,0.0,0.0838914171051308,0.18888068789156365,-7.086233229360171,-5.3148944467772905,-1.0488270768184473,-19.741849215693172,-1.1507555782746053,-4.868974305758319,-18.591093637418567
44,24.0,0.0,0.09186898882898867,0.18292658605722023,-7.967864759587879,-5.6187232273449155,-1.0958369473531835,-20.650209934698204,-1.0905354549161794,-5.784857330063866,-19.559674479782025
45,28.0,0.0,0.09884259159087101,0.18372993558266237,-8.260129321060095,-5.95371697134676,-1.1258008840510008,-21.066812398410207,-1.1320183833528727,-6.713760707568926,-19.934794015057335
46,16.0,0.0,0.09587133952465164,0.2346494359345656,-7.529220870245193,-4.9392246419093855,-0.8490270085153709,-19.579881561720253,-0.9122275862689972,-3.8990522223411976,-18.667653975451255
47,16.0,0.0,0.09347875865763314,0.23694868815495448,-8.098724260415116,-4.700730744282208,-0.916299733914524,-19.412254399730074,-0.952764443507753,-3.906282836503325,-18.45948995622232
48,16.0,0.0,0.08839550675093165,0.21698460293900185,-6.429850707762634,-5.371881513999827,-0.7306667947903728,-19.884475662247617,-0.8347859187306422,-3.882736277693358,-19.049689743516975
49,20.0,0.0,0.08874370658642737,0.20479160166921095,-6.579997389743751,-5.405685405847858,-0.9711146122403446,-20.2292229550158,-0.990618783594902,-4.838339617879082,-19.2386041714209
50,16.0,0.0,0.09267800469404047,0.21865128173279194,-7.302578416473063,-5.209288753023591,-0.754808900441327,-19.90485083237896,-0.8316940033889874,-3.883399096027383,-19.073156828989973
